S0,K,mu,sigma,monitoring_dates,nodes,number_of_sample_paths,loss_probability_Delta,loss_probability_SS,95%_VaR_Delta,95%_VaR_SS,95%_CVaR_Delta,95%_CVaR_SS
40,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],64,10000,0.4057,0.0,-0.19168626119651194,306.0625872681908,-0.2905716525852994,302.0818967629742
40,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],64,10000,0.4057,0.0,-0.19168626119651194,306.8356984843732,-0.2905716525852994,304.6829199797015
40,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],64,10000,0.3161,0.4631,-51.3537979887155,-3.2568255137629287,-75.95972684269131,-4.9912891587913695
40,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],64,10000,0.3161,0.4756,-51.3537979887155,-11.235837379075559,-75.95972684269131,-14.983602601240472
40,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],64,10000,0.3161,0.4803,-51.3537979887155,-3.2500030059257057,-75.95972684269131,-4.304266343460301
40,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],64,10000,0.3161,0.4596,-51.3537979887155,-11.515928453062774,-75.95972684269131,-15.73006898371135
40,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],64,10000,0.3161,0.4687,-51.3537979887155,-1.9880573525299117,-75.95972684269131,-3.0548118986520194
40,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],8,10000,0.3161,0.4738,-51.3537979887155,-19.372116048736704,-75.95972684269131,-25.499319135166285
40,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],8,10000,0.3161,0.4601,-51.3537979887155,-59.48912300697667,-75.95972684269131,-76.77310519447695
40,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],16,10000,0.3161,0.4772,-51.3537979887155,-39.60492243254427,-75.95972684269131,-50.756431076337805
40,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],32,10000,0.3161,0.194,-51.3537979887155,-363.8763691674245,-75.95972684269131,-736.2790213266024
40,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],32,10000,0.3161,0.4622,-51.3537979887155,-6.13298211629831,-75.95972684269131,-9.160467098519991
40,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],32,10000,0.3161,0.4644,-51.3537979887155,-57.885554005640735,-75.95972684269131,-75.68811266033357
40,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],32,10000,0.3161,0.4733,-51.3537979887155,-36.74566497790197,-75.95972684269131,-48.59291203416202
40,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],32,10000,0.3161,0.4825,-51.3537979887155,-13.079628697384532,-75.95972684269131,-17.89802879729797
40,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],16,10000,0.3161,0.4819,-51.3537979887155,-14.810502593620125,-75.95972684269131,-19.94155937839639
