run_datetime,S0,K,mu,sigma,N,monitoring_dates,style,l1,l2,l3,e1,e2,initial_option_value
2023-11-20 00:10:42.225292,1.0,1.0,0.06,0.2,30000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05605411936595027
2023-11-20 00:16:23.982504,1.0,1.0,0.06,0.2,30000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05582902802463901
2023-11-20 00:32:42.758697,1.0,1.0,0.06,0.2,30000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05621204573297101
2023-11-20 00:50:11.515543,1.0,1.0,0.06,0.2,40000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.056242790908693795
2023-11-20 01:07:09.329541,1.0,1.0,0.06,0.2,40000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.055517985386884496
2023-11-20 01:07:55.160753,1.0,1.0,0.06,0.2,40000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05670533295720675
2023-11-20 01:24:35.283125,1.0,1.0,0.06,0.2,40000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05775903887207733
2023-11-20 01:57:12.998833,1.0,1.0,0.06,0.2,40000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05750252505870333
2023-11-20 02:14:17.133968,1.0,1.0,0.06,0.2,40000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.055957544809142556
2023-11-20 02:30:07.922566,1.0,1.0,0.06,0.2,40000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05551127595839404
2023-11-20 02:46:55.750972,1.0,1.0,0.06,0.2,40000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.055356858291802855
2023-11-20 02:47:35.253365,1.0,1.0,0.06,0.2,40000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05581360266253395
2023-11-20 03:03:40.960607,1.0,1.0,0.06,0.2,40000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05732632575901858
